"Source:","C:\Users\Andrew\Desktop\System CD Updates\data\duodyne\01 template.prototyping\template.prototyping.kicad_sch"
"Date:","3/29/2023 11:13:32 AM"
"Tool:","Eeschema (6.0.11)"
"Generator:","C:\Program Files\KiCad\6.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","194"

"Individual Components:"

"","","J181","PTH","template.prototyping-rescue:CONN_01X01-conn","PTHelement:PTHelement",""
"","","J182","PTH","template.prototyping-rescue:CONN_01X01-conn","PTHelement:PTHelement",""
"","","J183","PTH","template.prototyping-rescue:CONN_01X01-conn","PTHelement:PTHelement",""
"","","J184","PTH","template.prototyping-rescue:CONN_01X01-conn","PTHelement:PTHelement",""
"","","J185","PTH","template.prototyping-rescue:CONN_01X01-conn","PTHelement:PTHelement",""
"","","J186","PTH","template.prototyping-rescue:CONN_01X01-conn","PTHelement:PTHelement",""
"","","P1","CONN_02X25","template.prototyping-rescue:CONN_02X25-conn","Connector_IDC:IDC-Header_2x25_P2.54mm_Horizontal",""
"","","P2","CONN_02X25","template.prototyping-rescue:CONN_02X25-conn","Connector_IDC:IDC-Header_2x25_P2.54mm_Horizontal",""
"","","P3","CONN_02X25","template.prototyping-rescue:CONN_02X25-conn","Connector_IDC:IDC-Header_2x25_P2.54mm_Horizontal",""
"","","P4","BYPASS","template.prototyping-rescue:CONN_01X04-conn","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical",""
"","","R1","470","template.prototyping-rescue:R-device","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""



"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet"
"1","1","D1","LED","template.prototyping-rescue:LED-device","LED_THT:LED_D3.0mm_Horizontal_O3.81mm_Z2.0mm",""
"2","2","H1, H2","MountingHole","template.prototyping-rescue:MountingHole_Pad-mechanical","MountingHole:MountingHole_3.2mm_M3_Pad",""
"3","186","J1, J2, J3, J4, J5, J6, J7, J8, J9, J10, J11, J12, J13, J14, J15, J16, J17, J18, J19, J20, J21, J22, J23, J24, J25, J26, J27, J28, J29, J30, J31, J32, J33, J34, J35, J36, J37, J38, J39, J40, J41, J42, J43, J44, J45, J46, J47, J48, J49, J50, J51, J52, J53, J54, J55, J56, J57, J58, J59, J60, J61, J62, J63, J64, J65, J66, J67, J68, J69, J70, J71, J72, J73, J74, J75, J76, J77, J78, J79, J80, J81, J82, J83, J84, J85, J86, J87, J88, J89, J90, J91, J92, J93, J94, J95, J96, J97, J98, J99, J100, J101, J102, J103, J104, J105, J106, J107, J108, J109, J110, J111, J112, J113, J114, J115, J116, J117, J118, J119, J120, J121, J122, J123, J124, J125, J126, J127, J128, J129, J130, J131, J132, J133, J134, J135, J136, J137, J138, J139, J140, J141, J142, J143, J144, J145, J146, J147, J148, J149, J150, J151, J152, J153, J154, J155, J156, J157, J158, J159, J160, J161, J162, J163, J164, J165, J166, J167, J168, J169, J170, J171, J172, J173, J174, J175, J176, J177, J178, J179, J180, J181, J182, J183, J184, J185, J186","PTH","template.prototyping-rescue:CONN_01X01-conn","PTHelement:PTHelement",""
"4","3","P1, P2, P3","CONN_02X25","template.prototyping-rescue:CONN_02X25-conn","Connector_IDC:IDC-Header_2x25_P2.54mm_Horizontal",""
"5","1","P4","BYPASS","template.prototyping-rescue:CONN_01X04-conn","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical",""
"6","1","R1","470","template.prototyping-rescue:R-device","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
